,rewards
1500,-0.3125
1501,-1.875
1502,-3.125
1503,-2.8125
1504,-5.9375
1505,-4.0625
1506,-0.0
1507,-4.375
1508,-1.5625
1509,-3.125
1510,-1.875
1511,-1.25
1512,-2.8125
1513,-2.8125
1514,-2.1875
1515,-1.25
1516,-3.125
1517,-0.0
1518,-3.125
1519,-0.0
1520,-3.4375
1521,-0.0
1522,-5.3125
1523,-0.0
1524,-1.875
1525,-5.3125
1526,-3.125
1527,-5.0
1528,-4.375
1529,-1.875
1530,-0.625
1531,-3.75
1532,-3.4375
1533,-11.5625
1534,-1.25
1535,-3.75
1536,-4.0625
1537,-2.5
1538,-9.0625
1539,-3.4375
1540,-5.0
1541,-4.0625
1542,-0.0
1543,-4.0625
1544,-1.875
1545,-0.0
1546,-3.75
1547,-0.0
1548,-3.125
1549,-7.1875
1550,-6.25
1551,-9.6875
1552,-2.5
1553,-3.4375
1554,-1.875
1555,-2.5
1556,-4.6875
1557,-5.9375
1558,-5.0
1559,-8.125
1560,-2.5
1561,-0.0
1562,-1.5625
1563,-2.5
1564,-5.9375
1565,-7.8125
1566,-0.0
1567,-6.25
1568,-1.875
1569,-1.875
1570,-2.8125
1571,-4.6875
1572,-3.125
1573,-7.1875
1574,-2.5
1575,-0.0
1576,-6.25
1577,-3.125
1578,-0.0
1579,-8.75
1580,-3.4375
1581,-0.0
1582,-2.1875
1583,-7.1875
1584,-7.1875
1585,-0.9375
1586,-2.8125
1587,-0.0
1588,-11.5625
1589,-2.8125
1590,-2.1875
1591,-7.5
1592,-5.0
1593,-0.0
1594,-2.5
1595,-0.0
1596,-3.4375
1597,-5.0
1598,-2.5
1599,-3.125
1600,-3.75
1601,-0.0
1602,-0.9375
1603,-1.875
1604,-3.75
1605,-5.3125
1606,-5.9375
1607,-1.25
1608,-3.75
1609,-4.0625
1610,-3.75
1611,-9.0625
1612,-3.125
1613,-1.875
1614,-3.75
1615,-2.1875
1616,-5.0
1617,-5.0
1618,-1.25
1619,-9.0625
1620,-3.4375
1621,-3.75
1622,-4.6875
1623,-0.0
1624,-2.8125
1625,-2.8125
1626,-2.5
1627,-6.875
1628,-3.4375
1629,-2.5
1630,-8.4375
1631,-3.125
1632,-2.5
1633,-8.75
1634,-4.6875
1635,-11.5625
1636,-0.0
1637,-6.875
